"row","profession","heading","sub-heading","level","grade","content"
155,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","Level 3 – Expert: G6","Grade 6","Challenges input data and assumptions and interprets output data for the purposes of providing supporting evidence on a wider array of topics, in line with the Aqua Book."
156,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","SCS","Grade 5","Ensures profession approved government wide standards (recruitment, development, promotion) are applied in a structured way and maintained within a positive culture of transparent assurance in the department."
157,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","SCS","Grade 5","Being accountable and signing off on key documents."
158,"Government Economic Service","Effective Communication","Quality Assurance and challenging analysis","SCS","Grade 5","Provides the highest level of QA in line with departmental processes."
159,"Government Economic Service","Effective Communication","Advising on data sources","Level 1 - Awareness - Apprentice/Placement","EO","Learns about data sources and undertakes training to understand the qualities of datasets"
160,"Government Economic Service","Effective Communication","Advising on data sources","Level 2 – Practitioner: HEO","HEO","Builds knowledge of data available in own work area and learns the limitations of these datasets"
161,"Government Economic Service","Effective Communication","Advising on data sources","Level 2 – Practitioner: SEO","SEO","Create and quality assure datasets with appropriate rigour."
162,"Government Economic Service","Effective Communication","Advising on data sources","Level 3 – Expert: G7","Grade 7","Advises colleagues on the most appropriate source, handling and processing of data sets based on best evidence/economic theory and analysis to form estimates about outcomes of likely policies."
163,"Government Economic Service","Effective Communication","Advising on data sources","Level 3 – Expert: G6","Grade 6","Advises team colleagues on the most appropriate source, handling, and processing of data sets based on best evidence/economic theory and identifies when to bring in data experts as necessary."
164,"Government Economic Service","Effective Communication","Advising on data sources","SCS","Grade 5","Influences development of new data sources to maintain or improve analytical capabilities."
165,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 1 - Awareness - Apprentice/Placement","EO","Acquires knowledge of how models can be used to inform analysis."
166,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: HEO","HEO","Develops ability to run economic models, under supervision."
167,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","SEO","Develops a good understanding of how models can inform analysis, and of their limitations."
168,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","SEO","Able to communicate effectively what the model results show."
169,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G7","Grade 7","Supervises analysis informed by economic models, assuring all parts of the process (Inputs, Technical Operation, Outputs, Analysis, and Communication of results)."
170,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G6","Grade 6","Ensures that economic models are quality assured, consistent with the principles outlined in the Aqua Book."
171,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G6","Grade 6","Can make the case to non-technical stakeholders for how new or existing Economic Modelling / Estimation / Forecasting could help to inform work, policy and departmental objectives."
172,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","SCS","Grade 5","Is accountable for the governance of models, with structured quality assurance and approval processes."
173,"Government Economic Service","Effective Communication","Using Economic models to inform analysis","SCS","Grade 5","Ensures modelling stands up to external scrutiny, engaging across government and beyond."
174,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 1 - Awareness - Apprentice/Placement","EO","Understands what assumptions have been made and why."
175,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","HEO","Applies appropriate assumptions to analysis and clearly communicates the rationale and the associated risks."
176,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","HEO","Is able to interpret analytical outputs."
177,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","SEO","Can evaluate assumptions made by self and other."
178,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","SEO","Understands of impact of assumptions on results."
179,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Identifies disparities, considers options to resolve and recommends. analytical solutions."
180,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Ensures that assumptions underpinning results are transparently presented with results."
181,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Grade 7","Identifies key risks and assesses impact on results with sensitivity analysis."
182,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Identifies disparities with wider context and where disparities exist, including with findings from other teams, challenges with staff and provides support to resolve."
183,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Works with teams to ensure assumptions are clearly and transparently presented with results."
184,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Grade 6","Works with teams to identify key risks and offer advice and challenge on sensitivities to test them."
185,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Grade 5","Ensures key information is distilled for senior and ministerial audiences without loss of rigour."
186,"Government Economic Service","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Grade 5","Influences decisions to mitigate key risks, understands sensitivities in advice given."
187,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 1 - Awareness - Apprentice/Placement","EO","Skill not normally expected at grade, but initiative and learning are part of the apprenticeship programme."
188,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: HEO","HEO","With support, will be able to identify opportunities for econometric analysis and carry it out depending on previous academic training."
189,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: HEO","HEO","Will continue to invest in learning within this area."
190,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: SEO","SEO","Generally well placed to identify opportunities for econometric analysis and carry it out depending on previous academic and work training."
191,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 3 – Expert: G7","Grade 7","Where relevant, applies econometric knowledge to fully understand how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
192,"Government Economic Service","Effective Communication","Applying econometric knowledge","Level 3 – Expert: G6","Grade 6","Where relevant, identified opportunities for the team to apply econometric knowledge, including fully understanding how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
193,"Government Economic Service","Effective Communication","Applying econometric knowledge","SCS","Grade 5","Adopts a wider perspective with regards modelling best practice, enables high quality data and systems to perform best practice econometrics where beneficial."
194,"Government Economic Service","Effective Communication","Using technical IT skills","Level 1 - Awareness - Apprentice/Placement","EO","Develops ability to use Excel and other software packages, is willing to continuously improve skills."
195,"Government Economic Service","Effective Communication","Using technical IT skills","Level 2 – Practitioner: HEO","HEO","Is comfortable with applying and developing skills with Excel and other relevant software packages."
196,"Government Economic Service","Effective Communication","Using technical IT skills","Level 2 – Practitioner: SEO","SEO","Develops and applies advanced skills in using Excel and other relevant software packages."
197,"Government Economic Service","Effective Communication","Using technical IT skills","Level 3 – Expert: G7","Grade 7","Ensures self and team have relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
198,"Government Economic Service","Effective Communication","Using technical IT skills","Level 3 – Expert: G6","Grade 6","Ensures team has relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
199,"Government Economic Service","Effective Communication","Using technical IT skills","SCS","Grade 5","Ensures economists within departments are adequately resourced with learning software relevant for their roles but also future progression."
200,"Government Economic Service","Effective Communication","Using technical IT skills","SCS","Grade 5","Actively seeks opportunities for collaboration and for GES members to grow and develop their IT, Digital and Analytical Software experience and skill set."
1,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Knowledge of research and analytical methodologies and ability to demonstrate practical application of both qualitative and quantitative approaches through project based work; for example, a suitable level of experience would be that obtained from obtaining a 1st or 2:1 degree or a postgraduate qualification in a social science discipline, that includes a substantial element of social research methods and training"
2,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Working knowledge of a range of research methods and an awareness of new innovative methods, including within the data science field."
3,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Broad awareness of the role of quantitative and qualitative social research methods and their application, i.e., knowing when their application is appropriate and when it is not"
4,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Uses both qualitative and quantitative approaches to undertake small in-house pieces of work while under supervision"
5,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Carries out analytical tasks under directions"
6,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in small scale research projects","Research Officer","HEO","Prepares accurate statistics"
7,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Research Officer","HEO","Designs small scale and less complex research projects for either in-house or commissioned projects; understands how to get things done in the Civil Service"
8,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Research Officer","HEO","Helps line manager identify areas for new research"
9,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Research Officer","HEO","Writes and designs draft research specifications for less complex projects"
10,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Research Officer","HEO","Defines research questions, and re-defines where necessary"
11,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Makes use of different sources of information and carries out basic analysis of key data sets by producing frequencies and cross tabulations; interprets the key findings from this"
12,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Uses computer software in the analysis and presentation of information"
13,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Working knowledge of relevant data analysis packages, particularly SPSS and Excel, and qualitative packages. Packages to be determined by the particular role and job content"
14,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Introductory level knowledge of data science techniques"
15,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Accurately interprets data (verbal & numerical) and research papers, for example, makes an accurate interpretation of the key findings from a literature search"
16,"Government Social Research","Technical Skills","Analysis & interpretation","Research Officer","HEO","Summarises verbally and numerically expressed research information accurately"
17,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Aware of key departmental procurement procedures"
18,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Judges accurately the merits of less complex research tenders"
19,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Supports team members in managing more complex external research projects"
20,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Working knowledge of ethical issues in research; knowledge of GSR principles on research ethics and SRA's guidance; with support, is able to apply these when developing appropriate solutions/ proposals"
21,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Working knowledge of legal requirements surrounding research, particularly data protection and the Freedom of Information Act; knows when to seek further support"
22,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Sensitive to legal requirements that may surround particular departmental research agenda; knows when to seek further support"
23,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Demonstrates attention to detail in checking information/evidence for accuracy and validity, for example, checking an interim research report from a contractor"
24,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Critically assesses research findings against an established standard or specification"
25,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Uses logic to evaluate new ideas and alternatives, for example, critically assesses new hypotheses or new methodologies"
26,"Government Social Research","Technical Skills","Managing & commissioning social research","Research Officer","HEO","Has knowledge of quality assurance methodologies required for analytical work and understands the context and relevance of quality assurance products, such as the Aqua Book"
27,"Government Social Research","Technical Skills","Summary","Research Officer","HEO","Has good knowledge of research methodology, methods, and the latest techniques (i.e. demonstrated through qualifications and/or experience) and ability to apply these in small scale research projects"
28,"Government Social Research","Technical Skills","Summary","Research Officer","HEO","Able to design small scale and less complex research projects, defining research questions and writing draft specifications"
29,"Government Social Research","Technical Skills","Summary","Research Officer","HEO","Able to summarise and interpret information accurately, making use of different sources and to conduct basic analyses of key data sets utilising a working knowledge of relevant data analysis packages"
30,"Government Social Research","Technical Skills","Summary","Research Officer","HEO","Has good working knowledge of departmental procurement procedures, quality assurance processes, legal and ethical issues and principles relating to social research. Uses ability to critically assess and evaluate information and evidence, to support team members in managing more complex external research projects (judging merits of research tenders, assessing research findings, evaluating new ideas or methodologies)"
31,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Research Officer","HEO","Contributing to the wider GSR network"
32,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Research Officer","HEO","Works with other social researchers and/or analysts"
33,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Research Officer","HEO","Delivers appropriate and timely analysis to support policy making and policy implementation, seeking support from senior colleagues where appropriate"
34,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Research Officer","HEO","Clear knowledge of the format and style required to report research results; able to report research information clearly in writing"
35,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Research Officer","HEO","Persuades others to support the research process, for example, industry bodies to release necessary information or policy customers of the value of social research"
36,"Government Social Research","Using and Promoting Social Research","Understanding government context","Research Officer","HEO","Knows when to consult with others, for example, with GSR colleagues, other analytical professions or policy colleagues"
37,"Government Social Research","Using and Promoting Social Research","Understanding government context","Research Officer","HEO","Uses the GSR network to increase awareness of cross cutting research possibilities"
38,"Government Social Research","Using and Promoting Social Research","Understanding government context","Research Officer","HEO","Understands the role and social research needs of policy divisions and can link that to own output"
39,"Government Social Research","Using and Promoting Social Research","Understanding government context","Research Officer","HEO","Tailors approach and frames research output in a way that is directly relevant to the customer's needs"
40,"Government Social Research","Using and Promoting Social Research","Understanding government context","Research Officer","HEO","Understands the policy context of own work"
41,"Government Social Research","Using and Promoting Social Research","Learning & development","Research Officer","HEO","Identify opportunities to expand knowledge and breadth of skills"
42,"Government Social Research","Using and Promoting Social Research","Learning & development","Research Officer","HEO","Commit time to learning and sharing knowledge with others around approaches to research"
43,"Government Social Research","Using and Promoting Social Research","Summary","Research Officer","HEO","Persuades others to support the research process and works to increase awareness of cross cutting research possibilities"
44,"Government Social Research","Using and Promoting Social Research","Summary","Research Officer","HEO","Uses understanding of policy context to deliver appropriate and timely analysis and clear reporting of research results, tailored to customer needs"
45,"Government Social Research","Using and Promoting Social Research","Summary","Research Officer","HEO","Actively supports and contributes to wider GSR community"
46,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","As Research Officer plus around two years successful applied experience of working in applied social research in which strong analytical skills have been clearly demonstrated. This can include work towards successful completion of a post graduate qualification with a strong research/research methods component"
47,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Thorough and detailed knowledge of the main quantitative, qualitative and evaluation research methods and experience of their use in more complex projects"
48,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Understands the pros and cons of different research methods so can advise, critique and make independent direct use of same"
49,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Uses a range of analytical techniques to carry out in-house analysis & briefing work"
50,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Up-to-date knowledge of methodological developments including the role of innovative methodologies; applies these methods when and where appropriate; makes use of appropriate new developments from other analytical professions and outside the Civil Service where relevant"
51,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Incorporates the latest techniques into their work where appropriate, and champions innovation and embraces new ways of working."
52,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Good knowledge & application of analytical techniques to address key questions"
53,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Assesses the suitability for purpose of alternative research methods"
54,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Brings a fresh approach to devising research methods, for example, designing questionnaires, modifying a methodology"
55,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these in more complex projects","Senior Research Officer","SEO","Generates imaginative and useful hypotheses which can be tested"
56,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Draws upon a track record of designing medium sized or more complex projects to translate a policy question into a viable research specification or in-house project"
57,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Meets the social research needs of several divisions and areas, for example, through consulting with other stakeholders and analysts at an early stage, clarifying objectives and setting deliverable goals"
58,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Clarifies and agrees research objectives and outputs"
59,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Translates broad projects aims into researchable questions, for example, turns policy requirements into well designed research specifications"
60,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Accurately identifies where there are gaps in the evidence base and makes sound recommendations for how this can be managed"
61,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Reframes a vague or unhelpful research question to one that can provide outputs that meets the customer’s needs"
62,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Senior Research Officer","SEO","Incorporates best practice guidance into research specification and management"
63,"Government Social Research","Technical Skills","Analysis & interpretation","Senior Research Officer","SEO","Weighs up competing sources of data and identifies a clear line to take"
64,"Government Social Research","Technical Skills","Analysis & interpretation","Senior Research Officer","SEO","Assesses relevance of research information to the task in hand"
65,"Government Social Research","Technical Skills","Analysis & interpretation","Senior Research Officer","SEO","Identifies salient points and trends from research or other information and draws out sound, logical inferences, for example, picks out key messages from dense data sets"
66,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Experience also of having had direct responsibility for management of commissioned research or for undertaking social or other relevant research projects of a significant scale. The above also needs to include some experience of having worked with other analysts, for example, economists, statisticians"
67,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Specifies, commissions and manages research projects; works within agreed budgets"
68,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Understands the basics of research planning, including bidding timetables, thinking ahead and liaising with policy divisions"
69,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Assesses whether a contractor’s report is based on a sound approach and robust analysis"
70,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","As RO but for more complex projects. Overall an ability to manage independently the entire procurement process for all but the most complex projects, including budgetary requirements"
71,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Takes responsibility and action to ensure that the legal and ethical compliance needs of research projects are met; Knows when to seek further support on legal or ethical issues"
72,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Liaises successfully with ethics committees, and other monitoring/ compliance committees, for particular projects"
73,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Applies GDPR principles where appropriate to particular projects"
74,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Manages research processes and contractors so ensuring quality of results and methodological rigour"
75,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Has knowledge of, and incorporates quality assurance processes within all analytical work, making use of relevant quality assurance products, such as the Aqua Book"
76,"Government Social Research","Technical Skills","Managing & commissioning social research","Senior Research Officer","SEO","Monitors and reviews performance and progress of research contractors and anticipates necessary action"
77,"Government Social Research","Technical Skills","Summary","Senior Research Officer","SEO","Demonstrates a thorough knowledge of research methodology, method, and the latest techniques, including main quantitative, qualitative and evaluation methods (at e.g. post graduate level) with around two years applied experience. Is up to date with methodological developments."
78,"Government Social Research","Technical Skills","Summary","Senior Research Officer","SEO","Holds a track record of designing medium scale or more complex projects, applying best practice guidance, identifying new areas for work, translating policy requirements into robust specifications that will meet customer needs"
79,"Government Social Research","Technical Skills","Summary","Senior Research Officer","SEO","Able to accurately evaluate competing data sources and identify salient points and trends to draw sound, logical inferences"
80,"Government Social Research","Technical Skills","Summary","Senior Research Officer","SEO","Has experience of managing research projects of significant scale, working with other analysts and ensuring relevant legal, ethical, procurement, and quality assurance practice followed, ensuring quality of results and methodological rigour"
81,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Seen as a knowledgeable voice (e.g. helping others understand what social research can achieve)"
82,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","May support other social researchers"
83,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Delivers appropriate and timely analysis to support policy making and policy implementation"
84,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Communicates written and oral information clearly; avoids unnecessary use of jargon and technical terms"
85,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Accurately and thoroughly evaluates complex information for the purposes of advice or recommendation; does so in a timely fashion"
86,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Communicates professional judgements regarding the application of social research methods; defends position/viewpoint in the face of opposition or challenge"
87,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Helps customers make full use out of available social research evidence, even when it is not perfect"
88,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Able to stimulate interest in social research and its applications; persuades others such as senior civil servants of the value of social research to the policy process"
89,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Able to reassure colleagues on social research issues"
90,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Senior Research Officer","SEO","Contributes effectively to research steering groups and advisory boards"
91,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Research Officer","SEO","Makes use of the GSR network to explore opportunities for cross cutting research"
92,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Research Officer","SEO","Develops effective communication links with other social researchers to provide appropriate collaborative support to the policy process"
93,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Research Officer","SEO","Looks beneath the surface of a request for advice or a piece of research, thinks laterally and explores different angles critically and analytically"
94,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Research Officer","SEO","Demonstrates sufficient technical ‘authority’ by taking the lead in recommending solutions to fill strategic gaps"
95,"Government Social Research","Using and Promoting Social Research","Understanding government context","Senior Research Officer","SEO","Conducts a risk analysis of an evidence base to ensure advice is sound, for example, understands the trade-offs in balancing quality and timing of - project delivery"
96,"Government Social Research","Using and Promoting Social Research","Learning & development","Senior Research Officer","SEO","Proactively identifies and expands knowledge and breadth of experience where professional skills are less developed. Commits time to learning and sharing knowledge with others around new techniques and innovative methods"
97,"Government Social Research","Using and Promoting Social Research","Summary","Senior Research Officer","SEO","Communicates analysis of complex information clearly, helping others make good use of social research evidence, even where this is not perfect"
98,"Government Social Research","Using and Promoting Social Research","Summary","Senior Research Officer","SEO","Stimulates interest in social research and contributes effectively to internal and external research projects"
99,"Government Social Research","Using and Promoting Social Research","Summary","Senior Research Officer","SEO","Understands policy context and timescales, explaining different angles critically and analytically, works with other analysts to best meet customer needs"
100,"Government Social Research","Using and Promoting Social Research","Summary","Senior Research Officer","SEO","Provides expertise and shapes expectations and needs through educating others on social research"
101,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these","Principal Research Officer","Grade 7","As for Senior Research Officer, plus established track record (around three/three plus years) in designing, carrying out or managing social research, and providing research based advice and briefings"
102,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these","Principal Research Officer","Grade 7","Established track record of developing and managing research projects employing the full range of research methods"
103,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these","Principal Research Officer","Grade 7","Has used or actively considered the use of the latest methods in recent projects, as appropriate"
104,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these","Principal Research Officer","Grade 7","Supports SROs/ROs on selection of methods and can deal with more complex problems without detailed knowledge of project"
105,"Government Social Research","Technical Skills","Knowledge of research methods, techniques & application of these","Principal Research Officer","Grade 7","Provides an overview of research methods for a wide portfolio of projects, and provides a supervisory/ sounding board for team leaders where appropriate"
106,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Principal Research Officer","Grade 7","Sets out clear research objectives and expected outcomes; defines key delivery objectives for staff / department"
107,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Principal Research Officer","Grade 7","Thinks around a problem; reframes it; questions assumptions, for example, able to reframe a research question to maximise assistance to customer"
108,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Principal Research Officer","Grade 7","Looks beyond immediate issue – identifies trends, areas for further research or analysis, links"
109,"Government Social Research","Technical Skills","Identifying research needs, designing & specifying research","Principal Research Officer","Grade 7","Proactive in helping policy divisions and directorates identify their information needs and evidence gaps; translates unfocussed requests and ideas into effective research designs"
110,"Government Social Research","Technical Skills","Analysis & interpretation","Principal Research Officer","Grade 7","Provides and supervises briefing activity based on analytical work"
111,"Government Social Research","Technical Skills","Analysis & interpretation","Principal Research Officer","Grade 7","Reports complex and often conflicting research information to senior non-specialists/customers; assists them to isolate key facts, discern trends and draw implications"
112,"Government Social Research","Technical Skills","Analysis & interpretation","Principal Research Officer","Grade 7","Evaluates and integrates research information from a variety of sources to come to logical conclusions"
113,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","Understands and can work within the budgetary requirements at the research project level"
114,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","As SRO but can draw upon more extensive experience of research procurement, contractor and financial management"
115,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","Promotes multi -disciplinary working ; understands what other analysts can contribute (for example, economists, statisticians) and how their own (& own team’s) work fits in"
116,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","Supports RO’s and SRO’s in resolving legal and or ethical issues"
117,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","As SRO, but with an overview knowledge to apply to multiple, or complex, or potentially controversial or high profile projects"
118,"Government Social Research","Technical Skills","Managing & commissioning social research","Principal Research Officer","Grade 7","Manages quality and product assurance issues on projects, developing quality and product assurance requirements with customers and analysts prior to projects commencing."
119,"Government Social Research","Technical Skills","Summary","Principal Research Officer","Grade 7","Holds an established track record (around three/three plus years) in designing, carrying out and managing social research, and providing research based advice and briefings"
120,"Government Social Research","Technical Skills","Summary","Principal Research Officer","Grade 7","Applies understanding of customer needs and ability to see bigger picture to identify research needs and evidence gaps and to deliver effective research designs to meet these needs"
121,"Government Social Research","Technical Skills","Summary","Principal Research Officer","Grade 7","Evaluates and integrates research information from a variety of sources, coming to logical conclusions and communicating this effectively to senior non-specialists, assisting them to take on key findings and implications"
122,"Government Social Research","Technical Skills","Summary","Principal Research Officer","Grade 7","Has strong research commissioning and management experience and ability to develop research coordination strategy, understanding contribution of other analytical professions Principal Research Officer: Using & Promoting Social Research"
123,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Manages and supports other social researchers through their career"
124,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Draws upon extensive experience of the design, development, commissioning and management of projects and in-house analytical activity to ensure appropriate social research input to policy decisions"
125,"Government Social Research","Using and Promoting Social Research","Leading, communicating and championing social research","Principal Research Officer","Grade 7","Ensures the provision of appropriate and timely analysis to support policy making and policy implementation"
