"profession","index","heading","sub-heading","level","content"
"Government Economic Service","2.6.2","Effective Communication","Quality Assurance and challenging analysis","SCS","Being accountable and signing off on key documents."
"Government Economic Service","2.6.3","Effective Communication","Quality Assurance and challenging analysis","SCS","Provides the highest level of QA in line with departmental processes."
"Government Economic Service","3.1.1","Effective Communication","Advising on data sources","Level 1 - Awareness - Apprentice/Placement","Learns about data sources and undertakes training to understand the qualities of datasets"
"Government Economic Service","3.2.1","Effective Communication","Advising on data sources","Level 2 – Practitioner: HEO","Builds knowledge of data available in own work area and learns the limitations of these datasets"
"Government Economic Service","3.3.1","Effective Communication","Advising on data sources","Level 2 – Practitioner: SEO","Create and quality assure datasets with appropriate rigour."
"Government Economic Service","3.4.1","Effective Communication","Advising on data sources","Level 3 – Expert: G7","Advises colleagues on the most appropriate source, handling and processing of data sets based on best evidence/economic theory and analysis to form estimates about outcomes of likely policies."
"Government Economic Service","3.5.1","Effective Communication","Advising on data sources","Level 3 – Expert: G6","Advises team colleagues on the most appropriate source, handling, and processing of data sets based on best evidence/economic theory and identifies when to bring in data experts as necessary."
"Government Economic Service","3.6.1","Effective Communication","Advising on data sources","SCS","Influences development of new data sources to maintain or improve analytical capabilities."
"Government Economic Service","4.1.1","Effective Communication","Using Economic models to inform analysis","Level 1 - Awareness - Apprentice/Placement","Acquires knowledge of how models can be used to inform analysis."
"Government Economic Service","4.2.1","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: HEO","Develops ability to run economic models, under supervision."
"Government Economic Service","4.3.1","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","Develops a good understanding of how models can inform analysis, and of their limitations."
"Government Economic Service","4.3.2","Effective Communication","Using Economic models to inform analysis","Level 2 – Practitioner: SEO","Able to communicate effectively what the model results show."
"Government Economic Service","4.4.1","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G7","Supervises analysis informed by economic models, assuring all parts of the process (Inputs, Technical Operation, Outputs, Analysis, and Communication of results)."
"Government Economic Service","4.5.1","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G6","Ensures that economic models are quality assured, consistent with the principles outlined in the Aqua Book."
"Government Economic Service","4.5.2","Effective Communication","Using Economic models to inform analysis","Level 3 – Expert: G6","Can make the case to non-technical stakeholders for how new or existing Economic Modelling / Estimation / Forecasting could help to inform work, policy and departmental objectives."
"Government Economic Service","4.6.1","Effective Communication","Using Economic models to inform analysis","SCS","Is accountable for the governance of models, with structured quality assurance and approval processes."
"Government Economic Service","4.6.2","Effective Communication","Using Economic models to inform analysis","SCS","Ensures modelling stands up to external scrutiny, engaging across government and beyond."
"Government Economic Service","5.1.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 1 - Awareness - Apprentice/Placement","Understands what assumptions have been made and why."
"Government Economic Service","5.2.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","Applies appropriate assumptions to analysis and clearly communicates the rationale and the associated risks."
"Government Economic Service","5.2.2","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: HEO","Is able to interpret analytical outputs."
"Government Economic Service","5.3.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","Can evaluate assumptions made by self and other."
"Government Economic Service","5.3.2","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 2 – Practitioner: SEO","Understands of impact of assumptions on results."
"Government Economic Service","5.4.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Identifies disparities, considers options to resolve and recommends. analytical solutions."
"Government Economic Service","5.4.2","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Ensures that assumptions underpinning results are transparently presented with results."
"Government Economic Service","5.4.3","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G7","Identifies key risks and assesses impact on results with sensitivity analysis."
"Government Economic Service","5.5.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Identifies disparities with wider context and where disparities exist, including with findings from other teams, challenges with staff and provides support to resolve."
"Government Economic Service","5.5.2","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Works with teams to ensure assumptions are clearly and transparently presented with results."
"Government Economic Service","5.5.3","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","Level 3 – Expert: G6","Works with teams to identify key risks and offer advice and challenge on sensitivities to test them."
"Government Economic Service","5.6.1","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Ensures key information is distilled for senior and ministerial audiences without loss of rigour."
"Government Economic Service","5.6.2","Effective Communication","Understanding results, including identifying assumptions, risks and sensitivities","SCS","Influences decisions to mitigate key risks, understands sensitivities in advice given."
"Government Economic Service","6.1.1","Effective Communication","Applying econometric knowledge","Level 1 - Awareness - Apprentice/Placement","Skill not normally expected at grade, but initiative and learning are part of the apprenticeship programme."
"Government Economic Service","6.2.1","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: HEO","With support, will be able to identify opportunities for econometric analysis and carry it out depending on previous academic training."
"Government Economic Service","6.2.2","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: HEO","Will continue to invest in learning within this area."
"Government Economic Service","6.3.1","Effective Communication","Applying econometric knowledge","Level 2 – Practitioner: SEO","Generally well placed to identify opportunities for econometric analysis and carry it out depending on previous academic and work training."
"Government Economic Service","6.4.1","Effective Communication","Applying econometric knowledge","Level 3 – Expert: G7","Where relevant, applies econometric knowledge to fully understand how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
"Government Economic Service","6.5.1","Effective Communication","Applying econometric knowledge","Level 3 – Expert: G6","Where relevant, identified opportunities for the team to apply econometric knowledge, including fully understanding how model inputs are estimated as well as being aware of issues related to model specification and efficiency and how they impact on estimates."
"Government Economic Service","6.6.1","Effective Communication","Applying econometric knowledge","SCS","Adopts a wider perspective with regards modelling best practice, enables high quality data and systems to perform best practice econometrics where beneficial."
"Government Economic Service","7.1.1","Effective Communication","Using technical IT skills","Level 1 - Awareness - Apprentice/Placement","Develops ability to use Excel and other software packages, is willing to continuously improve skills."
"Government Economic Service","7.2.1","Effective Communication","Using technical IT skills","Level 2 – Practitioner: HEO","Is comfortable with applying and developing skills with Excel and other relevant software packages."
"Government Economic Service","7.3.1","Effective Communication","Using technical IT skills","Level 2 – Practitioner: SEO","Develops and applies advanced skills in using Excel and other relevant software packages."
"Government Economic Service","7.4.1","Effective Communication","Using technical IT skills","Level 3 – Expert: G7","Ensures self and team have relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
"Government Economic Service","7.5.1","Effective Communication","Using technical IT skills","Level 3 – Expert: G6","Ensures team has relevant skills and resources to be comfortable using relevant software packages (Excel, and others as used in relevant department e.g., SPSS, STATA, R, SAS, etc.)."
"Government Economic Service","7.6.1","Effective Communication","Using technical IT skills","SCS","Ensures economists within departments are adequately resourced with learning software relevant for their roles but also future progression."
"Government Economic Service","7.6.2","Effective Communication","Using technical IT skills","SCS","Actively seeks opportunities for collaboration and for GES members to grow and develop their IT, Digital and Analytical Software experience and skill set."
